query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
пеленка одноразовая 50 50 для детей,пеленка одноразовая 50 50 для детей,[],[],[],[],"[{'width': 50, 'height': 50, 'unit': 'cm', 'type': 'textile'}]",[],[],[],['kids'],[],['kids'],[],3
силиконовая накладка на каблук,силиконовая накладка на каблук,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
дезинфицирующее средство для инструментов парикмахера,дезинфицирующее средство для инструментов парикмахера,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
пленка для плитки в ванную,пленка для плитки в ванную,['пленка'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
детская машинка монстр трак,детская машинка монстр трак,['машинка'],[],[],[],[],[],[],[],['kids'],[],['kids'],[],3
шапочка кондитера сеточка,шапочка кондитера сеточка,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
сетка на окно москитная мелкая белая,сетка на окно москитная мелкая белая,['окно'],[],['белый'],[],[],[],[],[],[],[],['home_decor'],[],3
слив перелив полуавтомат,слив перелив полуавтомат,['сварочный аппарат'],[],[],[],[],[],[],[],[],[],['garden'],[],2
компактный велосипед,компактный велосипед,['велосипед'],[],[],[],[],[],[],[],[],[],['sports'],[],2
брелок сигнализации starline а 63,брелок сигнализации starline а 63,[],[],[],['63 см'],[],[],[],[],[],[],[],[],1
резина на холодильник бирюса,резина на холодильник бирюса,"['холодильник', 'шины']",[],[],[],[],[],[],[],[],[],['appliances'],[],3
коврик hyundai на панель,коврик hyundai на панель,[],[],[],[],[],['hyundai'],[],[],[],[],['home_decor'],[],2
роутер с сим картой tp-link,роутер с сим картой tp-link,['роутер'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
ароматизатор для дома новогодний диффузор,ароматизатор для дома новогодний диффузор,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
защита к роликовым конькам,защита к роликовым конькам,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
манипула,манипула,[],[],[],[],[],[],[],[],[],[],['adult'],[],1
"TOYOTA RAV 4 II (_A2_) 1.8 (ZCA25_, ZCA26_) SUV бензин 129 2000-2005 1ZZ-FE","toyota rav 4 ii (_a2_) 1.8 (zca25_, zca26_) suv бензин 129 2000-2005 1zz-fe",[],[],[],['129 см'],[],['toyota'],[],[],[],[],['garden'],[],3
chery tiggo 7 pro max автомобиль,chery tiggo 7 pro max автомобиль,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
нож для удаления сорняков skrab,нож для удаления сорняков skrab,['столовые приборы'],[],[],[],[],[],[],[],[],[],['household'],[],2
джем без сахара ноль грамм,джем без сахара ноль грамм,[],[],[],[],[],[],[],[],[],[],['food'],[],1
лак для ногтей черный с лампой,лак для ногтей черный с лампой,['краска'],[],['черный'],[],[],[],[],[],[],[],['beauty'],[],3
modulen смесь,modulen смесь,['детское питание'],[],[],[],[],[],[],[],[],[],['tools'],[],2
трафарет мото,трафарет мото,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
одеяло без пододеяльника 2 спальное турция,одеяло без пододеяльника 2 спальное турция,['одеяло'],[],[],[],[],[],[],[],[],[],['home_textile'],[],2
лайм сульфур для кошек,лайм сульфур для кошек,[],[],[],[],[],['лайм'],[],[],[],[],['pets'],[],2
майка для девочки 90,майка для девочки 90,['футболка'],[],[],[],[],[],[],[],['girls'],[],['clothing'],[],3
лодочки на низком каблуке джинсовые,лодочки на низком каблуке джинсовые,['туфли'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
я никогда не настольная игра,я никогда не настольная игра,['настольная игра'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
mi home camera,mi home camera,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
игры на playstation 4 диск на русском на двоих,игры на playstation 4 диск на русском на двоих,['компьютерная игра'],[],[],[],[],[],[],[],[],[],['games'],[],2
сетка для фильтра грубой очистки воды,сетка для фильтра грубой очистки воды,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
lk9 pro часы,lk9 pro часы,['часы'],[],[],[],[],[],[],[],[],[],['kids'],[],2
комплект нижнего белья с шортами,комплект нижнего белья с шортами,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
сетка на окно москитная в рулоне белая,сетка на окно москитная в рулоне белая,['окно'],[],['белый'],[],[],[],[],[],[],[],['construction'],[],3
