query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
телескопическая палка для плодосборник,телескопическая палка для плодосборник,[],[],[],[],[],[],[],[],[],[],['adult'],[],1
стиральная машина хайер 6 кг узкая,стиральная машина хайер 6 кг узкая,['стиральная машина'],[],[],[],"[{'value': 6.0, 'unit': 'kg', 'type': 'weight'}]",[],[],[],[],[],['appliances'],[],3
капюшон съемный непромокаемый мужской,капюшон съемный непромокаемый мужской,[],[],[],[],[],[],[],[],['men'],[],['beauty'],[],2
лункообразователь ручной,лункообразователь ручной,[],[],[],[],[],[],[],[],[],['manual'],['books'],[],2
insta 360 веб камера,insta 360 веб камера,['фотоаппарат'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
на болгарку для шлифовки,на болгарку для шлифовки,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
спарта метро 2033,спарта метро 2033,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
кабель силовой 3*1.5,кабель силовой 3*1.5,['зарядное устройство'],[],[],[],"[{'length': 3.0, 'width': 1.5, 'unit': 'unknown'}]",[],[],[],[],[],['garden'],[],3
очки тактические мужские 5.11,очки тактические мужские 5.11,[],[],[],[],[],[],[],[],['men'],[],['clothing'],[],2
термокружка лада,термокружка лада,[],[],[],[],[],[],[],[],[],[],[],[],0
кроссовки женские с мехом зимние на широкую ногу,кроссовки женские с мехом зимние на широкую ногу,['кроссовки'],[],[],[],[],[],[],[],['women'],[],['footwear'],[],3
французские накладные ногти,французские накладные ногти,[],[],[],[],[],[],[],[],[],[],['adult'],[],1
пусеты с бриллиантами 585,пусеты с бриллиантами 585,['серьги'],[],[],[],[],[],[],['золото'],[],[],['jewelry'],[],3
автоматический распылитель,автоматический распылитель,['опрыскиватель'],[],[],[],[],[],[],[],[],[],['appliances'],[],2
моментальная камера,моментальная камера,['фотоаппарат'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
невидимки с листьями,невидимки с листьями,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
батарейка ag5,батарейка ag5,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
резинки для волос детские 100,резинки для волос детские 100,[],[],[],['100 см'],[],[],[],[],['kids'],[],['beauty'],[],3
держатель инвентаря садового,держатель инвентаря садового,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
фильтр для погружного насоса,фильтр для погружного насоса,['фильтр'],[],[],[],[],[],[],[],[],[],['beauty'],[],2
беруши 100 пар,беруши 100 пар,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
carters боди для малышей,carters боди для малышей,['боди'],[],[],[],[],['carters'],[],[],['kids'],[],['clothing'],[],4
запарник для бани с нержавеющей вставкой,запарник для бани с нержавеющей вставкой,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
крепление багажника ваз 2105,крепление багажника ваз 2105,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
борцовки для борьбы 37 размер,борцовки для борьбы 37 размер,[],[],[],['37'],[],[],[],[],[],[],['sports'],[],2
ушм 150 мм аккумуляторная,ушм 150 мм аккумуляторная,['болгарка'],[],[],[],"[{'value': 150.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],['battery'],['garden'],[],4
алмазная мозаика на подрамнике 40,алмазная мозаика на подрамнике 40,['плитка'],[],[],['40'],[],[],[],[],[],[],['hobbies'],[],3
серебряная цепь мужская на шею с крестом,серебряная цепь мужская на шею с крестом,[],[],[],[],[],[],[],[],['men'],[],['jewelry'],[],2
варежки софтшелл sokoke,варежки софтшелл sokoke,[],[],[],[],[],[],[],[],[],[],['food'],[],1
зарядка кнопка гранта,зарядка кнопка гранта,['зарядное устройство'],[],[],[],[],[],[],[],[],[],['garden'],[],2
крепления бачка к унитазу,крепления бачка к унитазу,[],[],[],[],[],[],[],[],[],[],[],[],0
провод для iphone прочный,провод для iphone прочный,[],[],[],[],[],['iphone'],[],[],[],[],['electronics'],[],2
костюм adidas новорожденному,костюм adidas новорожденному,['костюм'],[],[],[],[],['adidas'],[],[],['newborn'],[],['clothing'],[],4
кофточки 62 68 размер для малыша,кофточки 62 68 размер для малыша,[],[],[],[],"[{'width': 62, 'height': 68, 'unit': 'cm', 'type': 'textile'}]",[],[],[],['kids'],[],['kids'],[],3
сифон плоский для мойки,сифон плоский для мойки,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
каша детская 4 месяца,каша детская 4 месяца,['детское питание'],[],[],[],[],[],[],[],['kids'],[],['furniture'],[],3
стиральная машина с сушкой haier реплика,стиральная машина с сушкой haier реплика,['стиральная машина'],[],[],[],[],['haier'],[],[],[],[],['appliances'],True,4
веб камера белая,веб камера белая,['фотоаппарат'],[],['белый'],[],[],[],[],[],[],[],['electronics'],[],3
микрокомпьютер raspberry pi,микрокомпьютер raspberry pi,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
опрыскивать аккумуляторный,опрыскивать аккумуляторный,[],[],[],[],[],[],[],[],[],['battery'],['tools'],[],2
кроссовки футзальные детские,кроссовки футзальные детские,['кроссовки'],[],[],[],[],[],[],[],['kids'],[],['footwear'],[],3
панама детская для малышей мальчик,панама детская для малышей мальчик,[],[],[],[],[],[],[],[],"['boys', 'kids']",[],['furniture'],[],3
зеленые бусины натуральные,зеленые бусины натуральные,[],[],['зеленый'],[],[],[],[],[],[],[],['supplements'],[],2
чехол на телефон infinix однотонные,чехол на телефон infinix однотонные,['чехол'],[],[],[],[],['infinix'],[],[],[],[],['electronics'],[],3
опрыскиватель для деревьев,опрыскиватель для деревьев,['опрыскиватель'],[],[],[],[],[],[],[],[],[],[],[],1
крем cicaplast baume b5,крем cicaplast baume b5,['крем'],[],[],[],[],['cicaplast baume b5'],[],[],[],[],['supplements'],[],3
кольцо серебро,кольцо серебро,['кольцо'],[],['серебряный'],[],[],[],[],['серебро'],[],[],['jewelry'],[],4
комбинированный блок выключатель,комбинированный блок выключатель,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
полог для сена 8*12,полог для сена 8*12,[],[],[],[],"[{'length': 8.0, 'width': 12.0, 'unit': 'unknown'}]",[],[],[],[],[],['kids'],[],2
плойка для кудрей щипцы,плойка для кудрей щипцы,['фен'],[],[],[],[],[],[],[],[],[],[],[],1
dasem костюм,dasem костюм,['костюм'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
украшения на голову казахские,украшения на голову казахские,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
эхолот практик 7,эхолот практик 7,[],[],[],[],[],[],[],[],[],[],[],[],0
камни для знака зодиака лев,камни для знака зодиака лев,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
стеллаж ikea белый,стеллаж ikea белый,[],[],['белый'],[],[],['ikea'],[],[],[],[],['construction'],[],3
чепчик утепленный для новорожденного,чепчик утепленный для новорожденного,[],[],[],[],[],[],[],[],['newborn'],[],['kids'],[],2
царапки для детей,царапки для детей,[],[],[],[],[],[],[],[],['kids'],[],['stationery'],[],2
макароны для детей,макароны для детей,[],[],[],[],[],[],[],[],['kids'],[],['food'],[],2
подводная камера для рыбалки зимняя и летняя,подводная камера для рыбалки зимняя и летняя,['фотоаппарат'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
premium marine collagen,premium marine collagen,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
резинка для машины,резинка для машины,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
провод микро usb 1 метр,провод микро usb 1 метр,[],[],[],[],"[{'value': 1.0, 'unit': 'm', 'type': 'dimension'}]",[],[],[],[],[],['garden'],[],2
валерий попов,валерий попов,[],[],[],[],[],[],[],[],[],[],[],[],0
ароматизатор для дома персик,ароматизатор для дома персик,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
подвеска обладает,подвеска обладает,['подвеска'],[],[],[],[],[],[],[],[],[],['jewelry'],[],2
коврик для посуды 60*40 силиконовый,коврик для посуды 60*40 силиконовый,[],[],[],[],"[{'length': 60.0, 'width': 40.0, 'unit': 'unknown'}]",[],[],['силикон'],[],[],['construction'],[],3
регистратор haval jolion,регистратор haval jolion,['видеорегистратор'],[],[],[],[],['haval jolion'],[],[],[],[],['garden'],[],3
royal canin urinary s o 1.5 кг,royal canin urinary s o 1.5 кг,[],[],[],['S'],"[{'value': 1.5, 'unit': 'kg', 'type': 'weight'}]",[],[],[],[],[],['pets'],[],3
кепка поло коричневая,кепка поло коричневая,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
брелок led,брелок led,[],[],[],[],[],['led'],[],[],[],[],[],[],1
черно белые шнурки,черно белые шнурки,[],[],['белый'],[],[],[],[],[],[],[],['footwear'],[],2
костюм химзащиты многоразовый,костюм химзащиты многоразовый,['костюм'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
лопата садовая складная,лопата садовая складная,['лопата'],[],[],[],[],[],[],[],[],[],['garden'],[],2
экскаватор,экскаватор,[],[],[],[],[],[],[],[],[],[],[],[],0
зеленые сапоги весна,зеленые сапоги весна,['сапоги'],[],['зеленый'],[],[],[],[],[],[],[],['footwear'],[],3
стул стремянка складной деревянный,стул стремянка складной деревянный,['стул'],[],[],[],[],[],[],['дерево'],[],[],['furniture'],[],3
belwest женские кроссовки черные,belwest женские кроссовки черные,['кроссовки'],[],['черный'],[],[],[],[],[],['women'],[],['footwear'],[],4
фаллос фаллоимитатор,фаллос фаллоимитатор,[],[],[],[],[],[],[],[],[],[],['adult'],[],1
корзинки плетеные с ручкой 10 шт,корзинки плетеные с ручкой 10 шт,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
колготки sisi 40 ден черные,колготки sisi 40 ден черные,['носки'],[],['черный'],['40'],[],[],[],[],[],[],['clothing'],[],4
защитное стекло redmi 9t антишпион,защитное стекло redmi 9t антишпион,['защитное стекло'],[],[],[],[],['redmi'],['9t'],['стекло'],[],[],['electronics'],[],5
деревянная потолочная лампа,деревянная потолочная лампа,['лампа'],[],[],[],[],[],[],[],[],[],['home_decor'],[],2
garmin etrex,garmin etrex,[],[],[],[],[],[],[],[],[],[],['adult'],[],1
простынь 2 спальная поплин серая,простынь 2 спальная поплин серая,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
max g2,max g2,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
пробка с подсветкой 18,пробка с подсветкой 18,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
прочие изделия для курения,прочие изделия для курения,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
питбайк 140 кубов детский,питбайк 140 кубов детский,[],[],[],['140 см'],[],[],[],[],['kids'],[],['kids'],[],3
лента аварийная,лента аварийная,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
пластиковые крестики для плитки,пластиковые крестики для плитки,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
колесики для быстрой уборки,колесики для быстрой уборки,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
фотоаппарат sony розовый,фотоаппарат sony розовый,['фотоаппарат'],[],['розовый'],[],[],['sony'],[],[],[],[],['electronics'],[],4
askona детская подушка 1,askona детская подушка 1,['подушка'],[],[],[],[],['askona'],[],[],['kids'],[],['home_textile'],[],4
kalyon чистящее,kalyon чистящее,[],[],[],[],[],['kalyon'],[],[],[],[],['construction'],[],2
столешница для кухни 2400x600x38,столешница для кухни 2400x600x38,[],[],[],[],"[{'length': 2400.0, 'width': 600.0, 'unit': 'unknown', 'height': 38.0}]",[],[],[],[],[],['furniture'],[],2
коробки для хранения в туалет,коробки для хранения в туалет,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
мини бутсы,мини бутсы,['бутсы'],[],[],[],[],[],[],[],[],[],['footwear'],[],2
перчатки рабочие прочные,перчатки рабочие прочные,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
принтер пентиум,принтер пентиум,['принтер'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
электромобиль tommy,электромобиль tommy,[],[],[],[],[],[],[],[],[],['electric'],['furniture'],[],2
набор боди для малышей 3 шт,набор боди для малышей 3 шт,['боди'],[],[],[],[],[],[],[],['kids'],[],['clothing'],[],3
белуга водка,белуга водка,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
ноутбук 6 ядер,ноутбук 6 ядер,['ноутбук'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
озонатор для обуви,озонатор для обуви,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
отрез ткани бязь для постельного белья,отрез ткани бязь для постельного белья,[],[],[],[],[],[],[],['бязь'],[],[],['clothing'],[],2
для чистки оптики фотоаппарата,для чистки оптики фотоаппарата,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
стул для журнального столика,стул для журнального столика,['стул'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
дорожный набор столовых предметов,дорожный набор столовых предметов,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
nanosmoke,nanosmoke,[],[],[],[],[],[],[],[],[],[],['household'],[],1
кресло кровать бескаркасное 90 200,кресло кровать бескаркасное 90 200,"['кресло', 'кровать']",[],[],[],"[{'width': 90, 'height': 200, 'unit': 'cm', 'type': 'textile'}]",[],[],[],[],[],['furniture'],[],4
бабочки на шторы большие,бабочки на шторы большие,['шторы'],[],[],[],[],[],[],[],[],[],['home_textile'],[],2
slf18 фильтр угольный,slf18 фильтр угольный,['фильтр'],[],[],[],[],[],[],[],[],[],['supplements'],[],2
nordman перчатки,nordman перчатки,[],[],[],[],[],['nordman'],[],[],[],[],['supplements'],[],2
починить ноготь,починить ноготь,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
gamma кисть художественная,gamma кисть художественная,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
боди с мороженым,боди с мороженым,['боди'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
creative outlier free plus,creative outlier free plus,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
toyota camry,toyota camry,[],[],[],[],[],['toyota'],[],[],[],[],['kids'],[],2
приставка для телевизора 1000 каналов,приставка для телевизора 1000 каналов,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
планка для столешницы угловая 28 мм,планка для столешницы угловая 28 мм,[],[],[],[],"[{'value': 28.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],[],['furniture'],[],2
вайфай роутер домашний 5g,вайфай роутер домашний 5g,['роутер'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
зажимы для штор магнитные 2 шт,зажимы для штор магнитные 2 шт,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
ночные шторы в спальню 260 высота,ночные шторы в спальню 260 высота,['шторы'],[],[],[],[],[],[],[],[],[],['home_textile'],[],2
заготовка птичка,заготовка птичка,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
мягкий шланг для мойки высокого давления,мягкий шланг для мойки высокого давления,['шланг'],[],[],[],[],[],[],[],[],[],"['food', 'garden']",[],3
ortipo корм для кошек,ortipo корм для кошек,['корм'],[],[],[],[],[],[],[],[],[],['pets'],[],2
шезлонг садовый раскладной пластиковый,шезлонг садовый раскладной пластиковый,[],[],[],[],[],[],[],['пластик'],[],[],['kids'],[],2
силиконовая полоска для головы,силиконовая полоска для головы,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
стеклоподъемник приора блок кнопок,стеклоподъемник приора блок кнопок,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
rex пирожное,rex пирожное,[],[],[],[],[],['rex'],[],[],[],[],['kids'],[],2
три дэ календарь,три дэ календарь,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
b colour мицеллярные салфетки,b colour мицеллярные салфетки,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
овощерезка mivan,овощерезка mivan,[],[],[],[],[],['mivan'],[],[],[],[],['food'],[],2
ножницы на аккумуляторе,ножницы на аккумуляторе,[],[],[],[],[],[],[],[],[],['battery'],['tools'],[],2
рин фигурка,рин фигурка,[],[],[],[],[],[],[],[],[],[],[],[],0
набор слипов для мальчика,набор слипов для мальчика,[],[],[],[],[],[],[],[],['boys'],[],['electronics'],[],2
соты на стену зеркальные,соты на стену зеркальные,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
фартук кухонный с прессом,фартук кухонный с прессом,[],[],[],[],[],[],[],[],[],[],['dishes'],[],1
роутер archer c6,роутер archer c6,['роутер'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
чехол на офисное кресло с подлокотниками,чехол на офисное кресло с подлокотниками,['чехол'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
варбелт мох,варбелт мох,[],[],[],[],[],[],[],[],[],[],[],[],0
3437 gazzal,3437 gazzal,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
заглушка самоклеящаяся черная,заглушка самоклеящаяся черная,[],[],['черный'],[],[],[],[],[],[],[],[],[],1
дозатор для зубной пасты настенный автоматический для щеток,дозатор для зубной пасты настенный автоматический для щеток,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
матрасодержатели,матрасодержатели,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
штанга для примерочной,штанга для примерочной,['гантели'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
яркий фатин,яркий фатин,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
пробка для растирки лыж,пробка для растирки лыж,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
подвесной светильник лофт белый,подвесной светильник лофт белый,['люстра'],[],['белый'],[],[],[],[],[],[],[],['home_decor'],[],3
мангал барбекю с крышкой,мангал барбекю с крышкой,[],[],[],[],[],[],[],[],[],[],['dishes'],[],1
детский столик конструктор со стулом,детский столик конструктор со стулом,"['конструктор', 'стол']",[],[],[],[],[],[],[],['kids'],[],"['furniture', 'kids']",[],5
чехол на poco м6 про,чехол на poco м6 про,['чехол'],[],[],[],[],['poco'],[],[],[],[],['electronics'],[],3
синтезатор для начинающих взрослый 61 клавиша,синтезатор для начинающих взрослый 61 клавиша,[],[],[],[],[],[],[],[],[],[],['musical_instruments'],[],1
пакеты для вкусняшек в садик,пакеты для вкусняшек в садик,[],[],[],[],[],[],[],[],[],[],['food'],[],1
бритва мужская аккумуляторная с насадками philips,бритва мужская аккумуляторная с насадками philips,['эпилятор'],[],[],[],[],['philips'],[],[],['men'],['battery'],['garden'],[],5
каллот для бижутерии,каллот для бижутерии,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
flydigi vader,flydigi vader,[],[],[],[],[],[],[],[],[],[],['games'],[],1
манетка shimano,манетка shimano,[],[],[],[],[],[],[],[],[],[],[],[],0
гидрообувь,гидрообувь,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
флеш kingston,флеш kingston,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
ассорти дядя ваня,ассорти дядя ваня,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
пряжа як,пряжа як,[],[],[],[],[],[],[],[],[],[],[],[],0
нижнее белье на свадьбу пуш-ап,нижнее белье на свадьбу пуш-ап,['нижнее белье'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
кресло мешок l,кресло мешок l,['кресло'],[],[],['L'],[],[],[],[],[],[],['furniture'],[],3
хлопья пшенные алтайская сказка,хлопья пшенные алтайская сказка,[],[],[],[],[],[],[],[],[],[],['books'],[],1
клей для титановой нити,клей для титановой нити,[],[],[],[],[],[],[],[],[],[],['hobbies'],[],1
"мираторг для кошек сухой 1,5 кг реплика","мираторг для кошек сухой 1,5 кг реплика",[],[],[],[],"[{'value': 1.5, 'unit': 'kg', 'type': 'weight'}]",[],[],[],[],[],['pets'],True,3
баночки для специй с деревянной крышкой,баночки для специй с деревянной крышкой,[],[],[],[],[],[],[],[],[],[],['food'],[],1
полки соты металлические,полки соты металлические,['полка'],[],[],[],[],[],[],[],[],[],['dishes'],[],2
открывая ссср,открывая ссср,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
средство для мытья ванны из искусственного камня,средство для мытья ванны из искусственного камня,[],[],[],[],[],[],[],[],[],[],['household'],[],1
кружка хотлайн майами,кружка хотлайн майами,['посуда'],[],[],[],[],[],[],[],[],[],['dishes'],[],2
куртка охраны осенью,куртка охраны осенью,['куртка'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
панама женская пляжная плетеная,панама женская пляжная плетеная,[],[],[],[],[],[],[],[],['women'],[],['footwear'],[],2
bibi seven,bibi seven,[],[],[],[],[],['bibi seven'],[],[],[],[],['construction'],[],2
деревянные бусины для рукоделия для макраме,деревянные бусины для рукоделия для макраме,[],[],[],[],[],[],[],[],[],[],['hobbies'],[],1
ед база,ед база,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
платье с асимметричным плечом,платье с асимметричным плечом,['платье'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
фонарик от солнечной батареи с зарядкой,фонарик от солнечной батареи с зарядкой,['зарядное устройство'],[],[],[],[],[],[],[],[],[],['garden'],[],2
бронепленка для окон 300 мкм,бронепленка для окон 300 мкм,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
микрофон на батарейках взрослый,микрофон на батарейках взрослый,[],[],[],[],[],[],[],[],[],['battery'],['tools'],[],2
greenworks тачка садовая,greenworks тачка садовая,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
костюм спортивный женский персиковый теплый,костюм спортивный женский персиковый теплый,['костюм'],[],[],[],[],[],[],[],['women'],[],['clothing'],[],3
штаны спортивные белые с надписями,штаны спортивные белые с надписями,['брюки'],[],['белый'],[],[],[],[],[],[],[],['clothing'],[],3
grundig ghu7505b,grundig ghu7505b,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
детское пюре вишня,детское пюре вишня,[],[],[],[],[],[],[],[],['kids'],[],['food'],[],2
душевая система бронза,душевая система бронза,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
супинатор при плоскостопии взрослый,супинатор при плоскостопии взрослый,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
kemei бритва,kemei бритва,['эпилятор'],[],[],[],[],[],[],[],[],[],['books'],[],2
цепь стальная 5 мм,цепь стальная 5 мм,[],[],[],[],"[{'value': 5.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],[],['furniture'],[],2
цифровой цирк игрушки набор,цифровой цирк игрушки набор,['игрушка'],[],[],[],[],[],[],[],[],[],['kids'],[],2
ручка с именем ася,ручка с именем ася,['ручка'],[],[],[],[],[],[],[],[],[],['jewelry'],[],2
приспособление для засоров,приспособление для засоров,[],[],[],[],[],[],[],[],[],[],['household'],[],1
netis mw5360,netis mw5360,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
a02s,a02s,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
декор на годик фотозона,декор на годик фотозона,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
шапка весна-лето для новорожденных,шапка весна-лето для новорожденных,[],[],[],[],[],[],[],[],['newborn'],[],['kids'],[],2
тормозные шланги ланос,тормозные шланги ланос,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
комод узкий в прихожую 40 см,комод узкий в прихожую 40 см,['комод'],[],[],[],"[{'value': 40.0, 'unit': 'cm', 'type': 'dimension'}]",[],[],[],[],[],['furniture'],[],3
sokolov подвеска бабочка,sokolov подвеска бабочка,['подвеска'],[],[],[],[],[],[],[],[],[],['jewelry'],[],2
варежки детские для мальчика зима 10 лет,варежки детские для мальчика зима 10 лет,[],[],[],[],[],[],[],[],"['boys', 'kids']",[],['sports'],[],3
покрышка 19 7 8,покрышка 19 7 8,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
прожектор светодиодный уличный космос,прожектор светодиодный уличный космос,['фонарь'],[],[],[],[],[],[],[],[],[],['construction'],[],2
кабель переходник sata usb 3.0 для hdd 2.5 ssd 22 см sata кабель,кабель переходник sata usb 3.0 для hdd 2.5 ssd 22 см sata кабель,['зарядное устройство'],[],[],[],"[{'value': 22.0, 'unit': 'cm', 'type': 'dimension'}]",[],[],[],[],[],['garden'],[],3
кровать 80x180 с бортиком,кровать 80x180 с бортиком,['кровать'],[],[],[],"[{'length': 80.0, 'width': 180.0, 'unit': 'unknown'}]",[],[],[],[],[],['furniture'],[],3
клещи для хомутов шрусов,клещи для хомутов шрусов,[],[],[],[],[],[],[],[],[],[],[],[],0
бортик косичка в круглую кроватку,бортик косичка в круглую кроватку,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
детонатор,детонатор,[],[],[],[],[],[],[],[],[],[],['household'],[],1
коврик садовых работ,коврик садовых работ,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
резинка для холодильника полюс,резинка для холодильника полюс,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
клещевина красная,клещевина красная,[],[],['красный'],[],[],[],[],[],[],[],[],[],1
салфетка для камеры,салфетка для камеры,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
тележка без сумки,тележка без сумки,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
регулятор для плиты,регулятор для плиты,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
пенал в ванную комнату напольный высокий,пенал в ванную комнату напольный высокий,[],[],[],[],[],[],[],[],[],[],['food'],[],1
фонарь ручной эра,фонарь ручной эра,['фонарь'],[],[],[],[],[],[],[],[],['manual'],['home_decor'],[],3
пластилин мягкий 6 цветов,пластилин мягкий 6 цветов,[],[],[],[],[],[],[],[],[],[],['food'],[],1
цепь на мопед альфа 420,цепь на мопед альфа 420,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
шапка розовая бини для девочки,шапка розовая бини для девочки,[],[],[],[],[],[],[],[],['girls'],[],['jewelry'],[],2
дозатор для мыла серебряный,дозатор для мыла серебряный,[],[],['серебряный'],[],[],[],[],['серебро'],[],[],['jewelry'],[],3
sig sauer p226,sig sauer p226,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
квадроцикл детский на бензине 10 лет,квадроцикл детский на бензине 10 лет,[],[],[],[],[],[],[],[],['kids'],['gas'],['kids'],[],3
сертификат на robux 300,сертификат на robux 300,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
шнурки черные 80 см,шнурки черные 80 см,[],[],['черный'],[],"[{'value': 80.0, 'unit': 'cm', 'type': 'dimension'}]",[],[],[],[],[],['furniture'],[],3
honest зажигалка,honest зажигалка,[],[],[],[],[],[],[],[],[],[],['household'],[],1
проводка скутер 139,проводка скутер 139,[],[],[],['139 см'],[],[],[],[],[],[],['garden'],[],2
mikrotik hap ax3,mikrotik hap ax3,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
пресс для кебаба металл,пресс для кебаба металл,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
стиральные машины gorenje реплика,стиральные машины gorenje реплика,[],[],[],[],[],[],[],[],[],[],['auto'],True,2
парик хуа чен,парик хуа чен,[],[],[],[],[],[],[],[],[],[],[],[],0
варежки меховые коричневые,варежки меховые коричневые,[],[],['коричневый'],[],[],[],[],[],[],[],['footwear'],[],2
клюю,клюю,[],[],[],[],[],[],[],[],[],[],[],[],0
новогодний шар рождество,новогодний шар рождество,[],[],[],[],[],[],[],[],[],[],['food'],[],1
балансировочная плата 5s,балансировочная плата 5s,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
читая стихи,читая стихи,[],[],[],[],[],[],[],[],[],[],['books'],[],1
беспроводной дверной звонок wi fi,беспроводной дверной звонок wi fi,[],[],[],[],[],[],[],[],[],['battery'],['appliances'],[],2
menu_mined_9977 перчатки и варежки,перчатки и варежки,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
подгузники для плавания одноразовые,подгузники для плавания одноразовые,['подгузники'],[],[],[],[],[],[],[],[],[],['kids'],[],2
